k	span
1	400
2	201
3	135
4	103
5	83
6	70
7	61
8	54
9	49
10	45
11	42
12	39
13	37
14	35
15	33
16	31
17	30
18	29
19	28
20	27
21	26
22	26
23	25
24	25
25	24
26	24
27	24
28	23
29	23
30	23
31	23
32	22
33	22
34	22
35	22
36	22
37	21
38	21
39	21
40	21
41	21
42	21
43	21
44	21
45	20
46	20
47	20
48	20
49	20
50	20
51	20
52	20
53	20
54	20
55	20
56	19
57	19
58	19
59	19
60	19
61	19
62	19
63	19
64	19
65	19
66	19
67	19
68	19
69	19
70	19
71	19
72	19
73	19
74	19
75	19
76	19
77	19
78	19
79	19
80	19
81	19
82	19
83	19
84	19
85	19
86	19
87	19
88	19
89	19
90	19
91	19
92	19
93	19
94	19
95	19
96	19
97	18
98	18
99	18

