NumDocs	Busyness
1	99.97593261
2	99.91609586
3	99.81425616
4	99.69468775
5	99.51141529
6	99.32900159
7	99.11551393
8	98.87516323
9	98.33198634
10	97.87894497
11	96.9316602
12	94.32825019
13	90.79762906
14	85.63464264
15	80.77099469
16	75.66133489
17	71.2563327
18	67.41445345
19	63.70345895
20	60.56702748
21	57.68251161
22	55.01179797
23	52.93093743
24	51.03917194
25	48.87110349
26	46.96806708
27	45.18952436
28	43.38036998
29	42.14890353
30	40.79139046
31	39.45300207
32	38.22986249
33	37.22141282
34	36.00247646
35	35.18182267
36	33.98552607
37	33.23828594
38	32.48058703
39	31.65257173
40	31.05329256
41	30.17555164
42	29.43636138
43	28.69809901
44	28.06105858
45	27.54349495
46	26.86734512
47	26.38562915
48	25.77408891
49	25.62541519
50	24.98448051
51	24.40938128
52	23.95765162
53	23.32548078
54	23.16218298
55	22.67491162
56	22.43860583
57	21.9076239
58	21.57850506
59	21.21973476
60	21.05890728
61	20.6789449
62	20.35339991
63	19.95119152
64	19.66378375
65	19.41210786
66	19.13207035
67	19.00037127
68	18.53579754
69	18.30199301
70	18.12646917
71	17.89452458
72	17.64056651
73	17.51006775
74	17.21128906
75	17.0503412
76	16.63485763
77	16.51410312
78	16.32905197
79	16.16247164
80	16.00650049
81	15.80360449
82	15.58834209
83	15.48167428
84	15.24029536
85	15.04733612
86	14.87490275
87	14.70631859
88	14.62025204
89	14.44879004
90	14.30441113
91	14.31302558
92	14.02845661
93	13.81766662
94	13.77080728
95	13.6709158
96	13.49610618
97	13.32108923
98	13.17792027
99	13.16073549
100	13.00481783
