merge
Size,Locality,First Run,Second Run,Third Run,Fourth Run,Fifth Run,Average Run Time
10^6,5,41.3322,63.2934,41.2338,46.4806,50.0445,
10^6,15,60.1168,67.5574,62.8455,67.6016,91.2583,
10^6,25,93.4411,73.4473,71.4457,71.1394,71.1441,
10^6,35,104.3467,106.2313,75.8404,101.7718,76.1435,
10^6,45,97.3117,84.7541,100.0009,80.6960,82.2005,

Lmerge
Size,Locality,First Run,Second Run,Third Run,Fourth Run,Fifth Run,Average Run Time
10^6,5,27.9404,34.9466,33.2843,25.8644,34.4831,
10^6,15,49.3526,56.4728,45.1099,51.7737,55.0725,
10^6,25,73.1069,66.1372,56.2891,54.0839,61.7981,
10^6,35,73.8950,62.2298,96.6287,61.1934,60.7965,
10^6,45,83.6817,79.8614,66.7109,83.0973,65.9863,



