merge
Size,Locality,First Run,Second Run,Third Run,Fourth Run,Fifth Run,Average Run Time
10^6,5,98.5816,126.8826,126.8741,102.3452,102.9941,
10^6,15,211.7277,212.1261,211.0670,215.3531,270.1042,
10^6,25,182.7198,246.8615,244.2400,250.7616,188.1978,
10^6,35,223.8810,226.5065,209.0798,200.0520,207.6459,
10^6,45,297.2245,270.6808,225.6050,301.3650,233.9063,


Lmerge
Size,Locality,First Run,Second Run,Third Run,Fourth Run,Fifth Run,Average Run Time
10^6,5,65.9778,67.0246,66.1473,64.9383,68.8258,
10^6,15,330.3223,168.7644,103.4546,175.5028,176.7783,
10^6,25,148.2498,148.4493,204.4331,203.0944,147.6503,
10^6,35,154.3375,263.5682,159.8510,158.0780,153.4181,
10^6,45,270.5711,195.7569,191.3972,193.1064,187.8468,


