Lquick							
Size	Locality	First Run	Second Run	Third Run	Fourth Run	Fifth Run	Average Run Time10^3
	5	2.0945	2.3385	7.7524	3.5066	2.6399	
10^3	15	3.2563	3.4076	2.0055	2.9561	5.122	
10^3	25	1.9542	2.2157	2.3236	4.2346	3.309	
10^3	35	3.2481	2.4975	2.2331	4.9037	2.3964	
10^3	45	2.3765	2.5339	2.5282	1.9404	2.1663	
							
10^5	5	38.9786	34.7101	34.969	28.3453	32.372	
10^5	15	32.5535	20.4418	37.5928	25.7454	22.826	
10^5	25	29.8504	33.5623	30.952	44.5501	25.6562	
10^5	35	37.1164	46.3867	32.5334	32.0246	43.0306	
10^5	45	33.4047	29.6223	27.3228	38.6458	34.4754	
							
10^6	5	110.7811	132.6342	77.063	82.7869	84.8106	
10^6	15	83.0275	106.0832	82.372	100.1096	81.8074	
10^6	25	92.3026	80.1889	89.4204	109.6833	95.0349	
10^6	35	116.9366	96.2967	90.4509	108.4123	92.3925	
10^6	45	87.4839	90.807	114.1022	106.8524	104.7672	
