selection
Size,Locality,First Run,Second Run,Third Run,Fourth Run,Fifth Run,Average Run Time
10^5,5,13025.0133,12995.5130,13010.9434,13020.4081,13015.3521,
10^5,15,12997.6511,13226.5120,12999.8118,13080.7610,13050.7367,
10^5,25,13057.1256,13084.0311,13587.2624,13054.5742,13129.6894,
10^5,35,13045.2672,12995.0053,12993.2142,12988.4555,12996.8245,
10^5,45,13160.2544,13010.3505,12989.9435,12980.7779,13546.5428,


Lselection
Size,Locality,First Run,Second Run,Third Run,Fourth Run,Fifth Run,Average Run Time
10^5,5,18.2657,17.8759,17.7838,17.9033,17.9729,
10^5,15,21.6717,21.2468,21.1196,21.4370,21.1859,
10^5,25,25.8167,25.6747,25.3091,25.7209,25.6829,
10^5,35,30.0499,30.1973,30.1521,30.3078,30.2119,
10^5,45,34.6099,34.3137,34.6439,34.5692,34.5014,


